[qwen] 1/18 arch-villa-dusk            ok 107.2s
[qwen] 2/18 arch-tower-lowangle        ok 114.8s
[qwen] 3/18 arch-detail-facade         ok 114.0s
[qwen] 4/18 interior-living-japandi    ok 114.5s
[qwen] 5/18 interior-cafe-counter      ok 111.7s
[qwen] 6/18 interior-bedroom-night     ok 114.0s
[qwen] 7/18 portrait-studio-rim        ok 114.0s
[qwen] 8/18 portrait-elderly-macro     ok 114.1s
[qwen] 9/18 portrait-group-five        ok 114.1s
[qwen] 10/18 portrait-fashion-fullbody  ok 112.0s
[qwen] 11/18 ui-mobile-home-zh          ok 112.9s
[qwen] 12/18 ui-login-en                ok 111.3s
[qwen] 13/18 ui-dashboard-dark          ok 112.9s
[qwen] 14/18 ui-appstore-three          ok 112.0s
[qwen] 15/18 product-skincare-white     ok 112.5s
[qwen] 16/18 product-watch-lifestyle    ok 113.6s
[qwen] 17/18 game-icon-fantasy          ok 113.2s
[qwen] 18/18 game-icon-line-set         ok 112.8s
done 18
